Date,Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomeXG,AwayXG,UnderstatID,FullTimeResult,XG_Diff,Total_XG,Home_GoalsVsXG,Away_GoalsVsXG
2019-09-20 19:00:00,2019-2020,Southampton,Bournemouth,1,3,2.18021,1.29773,11693,A,0.8824800000000002,3.4779400000000003,0.4586714123868801,2.3117289420757783
2019-09-21 11:30:00,2019-2020,Leicester,Tottenham,2,1,1.28752,1.33735,11694,H,-0.04983,2.62487,1.5533739281719896,0.7477474109245896
2019-09-21 14:00:00,2019-2020,Man City,Watford,8,0,6.63049,0.344718,11695,H,6.285772,6.975208,1.2065473290812594,0.0
2019-09-21 14:00:00,2019-2020,Burnley,Norwich,2,0,2.39312,0.801428,11696,H,1.591692,3.194548,0.8357290900581666,0.0
2019-09-21 14:00:00,2019-2020,Everton,Sheffield United,0,2,1.26041,0.508011,11698,A,0.752399,1.768421,0.0,3.936922625691176
2019-09-21 16:30:00,2019-2020,Newcastle,Brighton,0,0,1.09807,1.21592,11699,D,-0.1178499999999997,2.31399,0.0,0.0
2019-09-22 13:00:00,2019-2020,Crystal Palace,Wolves,1,1,0.984777,1.75572,11697,D,-0.7709429999999999,2.740497,1.0154583220363596,0.5695669013282301
2019-09-22 13:00:00,2019-2020,West Ham,Man United,2,0,0.51376,1.27826,11700,H,-0.7645,1.79202,3.892868265337901,0.0
2019-09-22 15:30:00,2019-2020,Chelsea,Liverpool,1,2,1.23321,1.03003,11701,A,0.2031799999999999,2.26324,0.8108919000008109,1.941691018708193
2019-09-22 15:30:00,2019-2020,Arsenal,Aston Villa,3,2,2.53209,1.71546,11702,H,0.8166300000000002,4.24755,1.184792009762686,1.1658680470544345
2019-09-28 11:30:00,2019-2020,Sheffield United,Liverpool,0,1,1.17022,1.97079,11703,A,-0.80057,3.14101,0.0,0.5074107337666621
2019-09-28 14:00:00,2019-2020,Tottenham,Southampton,2,1,1.19008,1.16256,11704,H,0.0275199999999999,2.35264,1.680559290131756,0.8601706578585191
2019-09-28 14:00:00,2019-2020,Wolves,Watford,2,0,1.16363,1.06615,11705,H,0.09748,2.22978,1.718759399465466,0.0
2019-09-28 14:00:00,2019-2020,Aston Villa,Burnley,2,2,0.914266,1.66919,11706,D,-0.7549239999999999,2.583456,2.187547168985831,1.198185946477034
2019-09-28 14:00:00,2019-2020,Bournemouth,West Ham,2,2,2.31957,1.29546,11707,D,1.02411,3.61503,0.8622287751609133,1.5438531486884968
2019-09-28 14:00:00,2019-2020,Chelsea,Brighton,2,0,4.26443,0.616263,11708,H,3.648167,4.880693,0.4689958564216085,0.0
2019-09-28 14:00:00,2019-2020,Crystal Palace,Norwich,2,0,1.80497,0.712129,11709,H,1.092841,2.517099,1.1080516573682666,0.0
2019-09-28 16:30:00,2019-2020,Everton,Man City,1,3,2.35854,3.1082,11711,A,-0.74966,5.46674,0.4239911131462684,0.9651888552860176
2019-09-29 15:30:00,2019-2020,Leicester,Newcastle,5,0,1.82438,0.054134,11710,H,1.770246,1.878514,2.740657099946284,0.0
2019-09-30 19:00:00,2019-2020,Man United,Arsenal,1,1,1.1335,1.70399,11712,D,-0.5704899999999999,2.83749,0.882223202470225,0.5868579040956814
2019-10-05 12:30:00,2019-2020,Brighton,Tottenham,3,0,2.60017,0.478504,11713,H,2.121666,3.078674,1.1537707149917122,0.0
2019-10-05 15:00:00,2019-2020,Burnley,Everton,1,0,0.558912,1.30723,11714,H,-0.7483179999999999,1.866142,1.7891904271155388,0.0
2019-10-05 15:00:00,2019-2020,Liverpool,Leicester,2,1,3.74867,0.0982107,11715,H,3.6504593,3.8468807,0.5335225559998613,10.182189924315782
2019-10-05 15:00:00,2019-2020,Norwich,Aston Villa,1,5,1.84838,3.67827,11717,A,-1.82989,5.52665,0.5410142935976369,1.3593346872306815
2019-10-05 15:00:00,2019-2020,Watford,Sheffield United,0,0,1.44318,0.353724,11719,D,1.089456,1.7969039999999998,0.0,0.0
2019-10-05 17:30:00,2019-2020,West Ham,Crystal Palace,1,2,1.23577,2.0682,11720,A,-0.83243,3.30397,0.8092120702072392,0.9670244657189828
2019-10-06 14:00:00,2019-2020,Man City,Wolves,0,2,1.61884,1.18825,11716,A,0.43059,2.80709,0.0,1.683147485798443
2019-10-06 14:00:00,2019-2020,Southampton,Chelsea,1,4,1.27044,2.15201,11718,A,-0.8815700000000002,3.4224500000000004,0.7871288687383898,1.8587274222703425
2019-10-06 14:00:00,2019-2020,Arsenal,Bournemouth,1,0,1.24109,0.683967,11722,H,0.557123,1.925057,0.8057433385169488,0.0
2019-10-06 16:30:00,2019-2020,Newcastle,Man United,1,0,0.650296,0.969204,11721,H,-0.3189079999999999,1.6195,1.537761265639032,0.0
2019-10-19 12:30:00,2019-2020,Everton,West Ham,2,0,2.23324,0.459112,11727,H,1.774128,2.692352,0.8955598144400065,0.0
2019-10-19 15:00:00,2019-2020,Tottenham,Watford,1,1,0.891617,0.846851,11731,D,0.0447659999999999,1.738468,1.1215577989203884,1.1808452726630776
2019-10-19 15:00:00,2019-2020,Leicester,Burnley,2,1,0.8291,1.79569,11728,H,-0.96659,2.62479,2.4122542515981187,0.5568889953165636
2019-10-19 15:00:00,2019-2020,Wolves,Southampton,1,1,0.887495,1.37695,11732,D,-0.4894549999999998,2.264445,1.1267669113628809,0.7262427829623443
2019-10-19 15:00:00,2019-2020,Bournemouth,Norwich,0,0,0.675554,0.402873,11724,D,0.272681,1.078427,0.0,0.0
2019-10-19 15:00:00,2019-2020,Aston Villa,Brighton,2,1,2.96692,1.32184,11723,H,1.64508,4.28876,0.6740997397975005,0.7565212128548086
2019-10-19 15:00:00,2019-2020,Chelsea,Newcastle,1,0,2.30068,0.197082,11725,H,2.103598,2.497762,0.4346541022654172,0.0
2019-10-19 17:30:00,2019-2020,Crystal Palace,Man City,0,2,0.616864,4.02104,11726,A,-3.404176,4.637904,0.0,0.4973837614149573
2019-10-20 16:30:00,2019-2020,Man United,Liverpool,1,1,0.791862,1.03212,11729,D,-0.2402579999999999,1.823982,1.262846304027722,0.9688795876448476
2019-10-21 20:00:00,2019-2020,Sheffield United,Arsenal,1,0,0.895722,0.949735,11730,H,-0.0540129999999999,1.845457,1.1164178171352273,0.0
2019-10-25 20:00:00,2019-2020,Southampton,Leicester,0,9,0.457334,4.38046,11740,A,-3.923126,4.837794000000001,0.0,2.054578742871753
2019-10-26 12:30:00,2019-2020,Man City,Aston Villa,3,0,3.19004,0.980145,11737,H,2.2098950000000004,4.170185,0.9404270792842724,0.0
2019-10-26 15:00:00,2019-2020,West Ham,Sheffield United,1,1,2.33891,1.16171,11742,D,1.1771999999999998,3.50062,0.4275495850631277,0.8608000275456009
2019-10-26 15:00:00,2019-2020,Watford,Bournemouth,0,0,0.674903,0.899526,11741,D,-0.224623,1.574429,0.0,0.0
2019-10-26 15:00:00,2019-2020,Brighton,Everton,3,2,1.15279,1.04723,11734,H,0.1055599999999998,2.2000200000000003,2.6023820470337182,1.90980013941541
2019-10-26 17:30:00,2019-2020,Burnley,Chelsea,2,4,2.23494,0.988321,11735,A,1.246619,3.223261,0.8948786097165919,4.047268043479801
2019-10-27 14:00:00,2019-2020,Newcastle,Wolves,1,1,0.603104,1.93255,11738,D,-1.329446,2.535654,1.6580888205019366,0.5174510361957
2019-10-27 16:30:00,2019-2020,Arsenal,Crystal Palace,2,2,1.54014,1.77892,11733,D,-0.23878,3.3190600000000003,1.298583245678964,1.1242776516088413
2019-10-27 16:30:00,2019-2020,Liverpool,Tottenham,2,1,2.18851,1.35143,11736,H,0.83708,3.53994,0.9138637703277572,0.7399569345064118
2019-10-27 16:30:00,2019-2020,Norwich,Man United,1,3,0.8924,4.51232,11739,A,-3.61992,5.40472,1.1205737337516808,0.6648464647897312
2019-11-02 12:30:00,2019-2020,Bournemouth,Man United,1,0,1.86862,0.641129,11745,H,1.227491,2.509749,0.5351542849803599,0.0
2019-11-02 15:00:00,2019-2020,West Ham,Newcastle,2,3,1.53597,1.93192,11752,A,-0.39595,3.46789,1.3021087651451526,1.5528593316493435
2019-11-02 15:00:00,2019-2020,Sheffield United,Burnley,3,0,2.58392,0.716613,11750,H,1.867307,3.300533,1.161026657172049,0.0
2019-11-02 15:00:00,2019-2020,Man City,Southampton,2,1,3.36132,0.893889,11749,H,2.467431,4.255209,0.5950043435317077,1.118707132541065
2019-11-02 15:00:00,2019-2020,Aston Villa,Liverpool,1,2,0.741615,2.38824,11744,A,-1.6466250000000002,3.129855,1.3484085408196975,0.8374367735235989
2019-11-02 15:00:00,2019-2020,Arsenal,Wolves,1,1,1.02552,1.5103,11743,D,-0.48478,2.53582,0.975115063577502,0.6621201085876978
2019-11-02 15:00:00,2019-2020,Brighton,Norwich,2,0,2.65496,0.455082,11746,H,2.199878,3.110042,0.7533070178081779,0.0
2019-11-02 17:30:00,2019-2020,Watford,Chelsea,1,2,1.4744,2.18313,11751,A,-0.7087299999999999,3.65753,0.6782419967444384,0.9161158520106454
2019-11-03 14:00:00,2019-2020,Crystal Palace,Leicester,0,2,0.44291,0.981167,11747,A,-0.538257,1.424077,0.0,2.03838897965382
2019-11-03 16:30:00,2019-2020,Everton,Tottenham,1,1,1.15532,0.243393,11748,D,0.911927,1.398713,0.8655610566769381,4.108581594376173
2019-11-08 20:00:00,2019-2020,Norwich,Watford,0,2,0.62104,1.36017,11757,A,-0.7391300000000001,1.98121,0.0,1.4704044347397751
2019-11-09 12:30:00,2019-2020,Chelsea,Crystal Palace,2,0,3.28903,0.479488,11754,H,2.809542,3.768518,0.6080820181026017,0.0
2019-11-09 15:00:00,2019-2020,Newcastle,Bournemouth,2,1,2.3306,1.9213,11756,H,0.4093,4.2519,0.8581481163648845,0.5204809243741216
2019-11-09 15:00:00,2019-2020,Burnley,West Ham,3,0,2.4158,0.474281,11753,H,1.941519,2.890081,1.2418246543588043,0.0
2019-11-09 15:00:00,2019-2020,Southampton,Everton,1,2,0.742281,2.08883,11758,A,-1.3465490000000002,2.831111,1.34719870237821,0.9574738011231166
2019-11-09 15:00:00,2019-2020,Tottenham,Sheffield United,1,1,1.5104,0.923443,11759,D,0.586957,2.433843,0.6620762711864407,1.0829038717062125
2019-11-09 17:30:00,2019-2020,Leicester,Arsenal,2,0,1.37055,0.961339,11762,H,0.4092109999999999,2.331889,1.45926817700923,0.0
2019-11-10 14:00:00,2019-2020,Wolves,Aston Villa,2,1,2.09891,0.473225,11760,H,1.625685,2.5721350000000003,0.9528755401613218,2.113159702044482
2019-11-10 14:00:00,2019-2020,Man United,Brighton,3,1,3.65299,1.1342,11761,H,2.51879,4.78719,0.8212450622640631,0.881678716275789
2019-11-10 16:30:00,2019-2020,Liverpool,Man City,3,1,1.3319,1.48104,11755,H,-0.1491399999999998,2.81294,2.2524213529544257,0.6752012099605683
2019-11-23 12:30:00,2019-2020,West Ham,Tottenham,2,3,0.661449,2.20681,11772,A,-1.545361,2.868259,3.0236647118674305,1.359428315079232
2019-11-23 15:00:00,2019-2020,Everton,Norwich,0,2,0.812693,1.80849,11768,A,-0.995797,2.621183,0.0,1.1058949731543997
2019-11-23 15:00:00,2019-2020,Watford,Burnley,0,3,0.902384,2.66281,11771,A,-1.7604259999999998,3.565194,0.0,1.1266293877520364
2019-11-23 15:00:00,2019-2020,Crystal Palace,Liverpool,1,2,1.02306,1.64291,11767,A,-0.61985,2.66597,0.9774597775301546,1.2173521373660152
2019-11-23 15:00:00,2019-2020,Arsenal,Southampton,2,2,1.60823,2.60312,11763,D,-0.99489,4.21135,1.2436032159579165,0.7683087986723623
2019-11-23 15:00:00,2019-2020,Bournemouth,Wolves,1,2,0.849789,1.2765,11765,A,-0.4267109999999999,2.126289,1.176762702270799,1.5667841754798275
2019-11-23 15:00:00,2019-2020,Brighton,Leicester,0,2,0.784706,3.50917,11766,A,-2.724464,4.293876,0.0,0.5699353408355822
2019-11-23 17:30:00,2019-2020,Man City,Chelsea,2,1,1.23596,0.820474,11769,H,0.4154859999999999,2.056434,1.6181753454804364,1.2188076648376425
2019-11-24 16:30:00,2019-2020,Sheffield United,Man United,3,3,1.56025,1.33065,11770,D,0.2295999999999998,2.8909,1.922768787053357,2.254537256228159
2019-11-25 20:00:00,2019-2020,Aston Villa,Newcastle,2,0,2.6985,0.69784,11764,H,2.00066,3.3963400000000004,0.7411524921252547,0.0
2019-11-30 12:30:00,2019-2020,Newcastle,Man City,2,2,0.208252,2.44389,11777,D,-2.235638,2.652142,9.603749303728176,0.8183674387963451
2019-11-30 15:00:00,2019-2020,Burnley,Crystal Palace,0,2,1.8509,0.936732,11773,A,0.914168,2.787632,0.0,2.1350823928295397
2019-11-30 15:00:00,2019-2020,Chelsea,West Ham,0,1,2.73185,1.12034,11774,A,1.6115100000000002,3.85219,0.0,0.8925861791956015
2019-11-30 15:00:00,2019-2020,Liverpool,Brighton,2,1,1.36832,0.867601,11776,H,0.500719,2.235921,1.4616463985032742,1.1526035585482268
2019-11-30 15:00:00,2019-2020,Tottenham,Bournemouth,3,2,2.93189,1.02949,11779,H,1.9024,3.96138,1.0232307487661545,1.942709496935376
2019-11-30 17:30:00,2019-2020,Southampton,Watford,2,1,1.9671,0.504005,11778,H,1.463095,2.471105,1.0167251283615475,1.984107300522812
2019-12-01 14:00:00,2019-2020,Wolves,Sheffield United,1,1,1.27422,1.47296,11780,D,-0.1987400000000001,2.74718,0.7847938346596349,0.6789050619161416
2019-12-01 14:00:00,2019-2020,Norwich,Arsenal,2,2,0.810596,1.96157,11781,D,-1.1509740000000002,2.772166,2.4673203420692924,1.0195914497061027
2019-12-01 16:30:00,2019-2020,Leicester,Everton,2,1,2.24348,1.24986,11775,H,0.99362,3.49334,0.891472177153351,0.8000896100363241
2019-12-01 16:30:00,2019-2020,Man United,Aston Villa,2,2,1.84804,1.29701,11782,D,0.5510299999999999,3.14505,1.082227657410013,1.5420081572231517
2019-12-03 19:30:00,2019-2020,Crystal Palace,Bournemouth,1,0,0.383763,0.342799,11791,H,0.040964,0.726562,2.6057749183741006,0.0
2019-12-03 20:15:00,2019-2020,Burnley,Man City,1,4,0.486548,2.56057,11784,A,-2.074022,3.047118,2.055295674835782,1.562152177054328
2019-12-04 19:30:00,2019-2020,Leicester,Watford,2,0,2.28735,0.199733,11785,H,2.087617,2.487083,0.8743742759088028,0.0
2019-12-04 19:30:00,2019-2020,Wolves,West Ham,2,0,1.82237,0.501977,11787,H,1.320393,2.324347,1.0974719733094815,0.0
2019-12-04 19:30:00,2019-2020,Man United,Tottenham,2,1,1.47683,0.542315,11788,H,0.934515,2.019145,1.354252012757054,1.8439467836958223
2019-12-04 19:30:00,2019-2020,Chelsea,Aston Villa,2,1,1.9774,0.86086,11789,H,1.11654,2.83826,1.0114291493880854,1.1616290686058128
2019-12-04 19:30:00,2019-2020,Southampton,Norwich,2,1,2.00232,0.896647,11790,H,1.105673,2.898967,0.9988413440409124,1.1152660969143933
2019-12-04 20:15:00,2019-2020,Liverpool,Everton,5,2,2.41397,1.76453,11792,H,0.64944,4.1785,2.0712767764305275,1.1334463001479147
2019-12-05 19:30:00,2019-2020,Sheffield United,Newcastle,0,2,1.09175,0.533775,11786,A,0.557975,1.625525,0.0,3.746897100838368
2019-12-05 20:15:00,2019-2020,Arsenal,Brighton,1,2,0.965377,1.53446,11783,A,-0.5690829999999999,2.499837,1.0358647450685068,1.3033901176961278
2019-12-07 12:30:00,2019-2020,Everton,Chelsea,3,1,2.03892,1.25734,11796,H,0.7815800000000002,3.29626,1.4713671943970337,0.7953298232777133
2019-12-07 15:00:00,2019-2020,Bournemouth,Liverpool,0,3,0.154608,3.04446,11794,A,-2.889852,3.199068,0.0,0.9853964249817702
2019-12-07 15:00:00,2019-2020,Tottenham,Burnley,5,0,2.39684,1.08645,11800,H,1.3103900000000002,3.48329,2.0860800053403645,0.0
2019-12-07 15:00:00,2019-2020,Watford,Crystal Palace,0,0,1.57132,0.210746,11801,D,1.3605740000000002,1.782066,0.0,0.0
2019-12-07 17:30:00,2019-2020,Man City,Man United,1,2,2.07108,1.63385,11797,A,0.4372299999999998,3.70493,0.4828398709851865,1.2241025797961869
2019-12-08 14:00:00,2019-2020,Norwich,Sheffield United,1,2,0.585805,0.712899,11799,A,-0.1270939999999999,1.298704,1.7070526881812207,2.8054464938231085
2019-12-08 14:00:00,2019-2020,Newcastle,Southampton,2,1,1.10449,1.89255,11798,H,-0.78806,2.99704,1.810790500593034,0.5283876251618187
2019-12-08 14:00:00,2019-2020,Aston Villa,Leicester,1,4,1.24141,4.03286,11793,A,-2.79145,5.2742700000000005,0.8055356409244327,0.9918519363429428
2019-12-08 16:30:00,2019-2020,Brighton,Wolves,2,2,0.951621,1.87208,11795,D,-0.920459,2.823701,2.1016770331886327,1.0683304132302038
2019-12-09 20:00:00,2019-2020,West Ham,Arsenal,1,3,0.521847,1.79181,11802,A,-1.269963,2.313657,1.916270477745393,1.6742846618782126
2019-12-14 12:30:00,2019-2020,Liverpool,Watford,2,0,1.56674,1.01166,11808,H,0.55508,2.5784,1.2765359919322925,0.0
2019-12-14 15:00:00,2019-2020,Burnley,Newcastle,1,0,1.43602,1.08726,11804,H,0.3487600000000002,2.52328,0.6963691313491455,0.0
2019-12-14 15:00:00,2019-2020,Chelsea,Bournemouth,0,1,2.02119,1.20777,11805,A,0.8134199999999998,3.22896,0.0,0.8279722132525232
2019-12-14 15:00:00,2019-2020,Leicester,Norwich,1,1,1.06421,1.16408,11807,D,-0.0998699999999999,2.2282900000000003,0.9396641640277764,0.8590474881451446
2019-12-14 15:00:00,2019-2020,Sheffield United,Aston Villa,2,0,1.888,0.97258,11810,H,0.91542,2.86058,1.0593220338983051,0.0
2019-12-14 17:30:00,2019-2020,Southampton,West Ham,0,1,0.805884,0.90324,11811,A,-0.097356,1.709124,0.0,1.1071254594570656
2019-12-15 14:00:00,2019-2020,Man United,Everton,1,1,1.48327,0.276759,11809,D,1.206511,1.760029,0.6741860888442427,3.613251962899129
2019-12-15 14:00:00,2019-2020,Wolves,Tottenham,1,2,0.718669,0.989205,11812,A,-0.270536,1.707874,1.3914611594489257,2.021825607432231
2019-12-15 16:30:00,2019-2020,Arsenal,Man City,0,3,0.28161,1.69553,11803,A,-1.41392,1.97714,0.0,1.7693582537613608
2019-12-16 19:45:00,2019-2020,Crystal Palace,Brighton,1,1,0.484859,2.48355,11806,D,-1.998691,2.9684090000000003,2.0624552705013213,0.4026494332709227
2019-12-21 12:30:00,2019-2020,Everton,Arsenal,0,0,0.486523,0.881818,11816,D,-0.395295,1.368341,0.0,0.0
2019-12-21 15:00:00,2019-2020,Newcastle,Crystal Palace,1,0,0.714368,0.985368,11818,H,-0.271,1.699736,1.399838738577316,0.0
2019-12-21 15:00:00,2019-2020,Brighton,Sheffield United,0,1,0.428371,1.65933,11815,A,-1.230959,2.087701,0.0,0.6026528779688187
2019-12-21 15:00:00,2019-2020,Norwich,Wolves,1,2,1.26536,1.65224,11819,A,-0.3868799999999999,2.9176,0.7902889296326737,1.2104778966736067
2019-12-21 15:00:00,2019-2020,Aston Villa,Southampton,1,3,0.921054,2.63444,11813,A,-1.713386,3.5554940000000004,1.0857126726554578,1.1387619380209837
2019-12-21 15:00:00,2019-2020,Bournemouth,Burnley,0,1,0.138532,0.144318,11814,A,-0.005786,0.28285,0.0,6.929142587896173
2019-12-21 17:30:00,2019-2020,Man City,Leicester,3,1,3.59139,1.01388,11817,H,2.57751,4.60527,0.8353311670411735,0.9863100169645324
2019-12-22 14:00:00,2019-2020,Watford,Man United,2,0,1.59291,1.5309,11821,H,0.0620100000000001,3.12381,1.2555637167197142,0.0
2019-12-22 16:30:00,2019-2020,Tottenham,Chelsea,0,2,0.276667,1.49374,11820,A,-1.217073,1.770407,0.0,1.3389210973797314
